ID,RA,Dec,z,Category,Ha_in,n_spaxels,n_disk,n_spaxels_disk,flux_spaxels,flux_disk,flux_spaxels_disk,sn_5635,sn_4050,bad_sinopsis,bad_contours,bad_gband,nad_notch,mag_disk,sinopsis_fraction,sinopsis_fraction_flag
MACS0257_01,02:57:42.5816,-22:09:20.61,0.3355,Post-Starburst,True,41.0,48.0,41.0,123.70111083984375,134.77957153320312,123.70111083984375,9.039612770080566,20.63492202758789,False,False,False,True,23.874047381533906,0.8541666666666666,True
MACS0257_02,,,0.3279,Jellyfish,True,423.0,3.0,0.0,1518.30517578125,0.8155558109283447,,0.37723761796951294,0.6278197765350342,False,False,False,True,29.419473343887187,0.0,False
MACS0257_03,02:57:40.15,-22:08:54.4,0.325,Post-Starburst,True,67.0,78.0,66.0,287.3692626953125,301.80950927734375,285.9261169433594,38.374122619628906,26.606481552124023,False,False,False,True,22.99877526203023,0.8461538461538461,True
MACS0257_04,02:57:40.7,-22:09:21.6,0.3236,Post-Starburst,True,73.0,51.0,50.0,160.2093505859375,133.00616455078125,131.26959228515625,29.056556701660156,26.80619239807129,False,False,False,True,23.88842813492179,0.9803921568627451,True
MACS0257_05,02:57:39.9,-22:09:14.2,0.3331,Post-Starburst,True,36.0,94.0,0.0,104.78318786621094,206.78253173828125,,10.603371620178223,16.91721534729004,False,False,False,True,23.409322939303824,0.0,False
MACS0416N_01,04:16:10.6,-24:04:07.2,0.4077,Truncated Disk,True,152.0,123.0,112.0,382.90771484375,374.9673767089844,361.9193420410156,15.841532707214355,19.78180503845215,False,False,False,False,22.763123848944026,0.9105691056910569,True
MACS0416N_02,04:16:11.34,-24:03:47.7,0.5277,Field Control,False,320.0,116.0,116.0,330.0083923339844,248.11268615722656,248.11268615722656,8.908442497253418,13.31930923461914,False,False,False,False,23.211485133579956,1.0,True
MACS0416S_01,04:16:07.721,-24:04:32.63,0.5007,Pending,False,538.0,16.0,16.0,1097.6617431640625,41.37826919555664,41.37826919555664,12.81860637664795,16.37671661376953,False,False,False,False,25.156176758349996,1.0,True
MACS0416S_02,04:16:07.76,-24:04:29.0,0.4672,Jellyfish,False,338.0,141.0,138.0,914.4404296875,615.4597778320312,609.3859252929688,10.124214172363281,27.27886390686035,False,False,False,False,22.225108370728396,0.9787234042553191,True
MACS0940_01,09:40:54.2,07:44:22.22,0.3805,Jellyfish,True,282.0,43.0,43.0,208.76116943359375,108.73269653320312,108.73269653320312,4.25211238861084,1.7975369691848755,False,False,False,False,24.10720716375755,1.0,True
MACS0940_02,09:40:54.8,07:44:19.1,0.3347,Jellyfish,True,90.0,23.0,3.0,38.327640533447266,34.630409240722656,4.553824424743652,4.644036293029785,6.43497896194458,False,False,False,False,25.349463500545436,0.13043478260869565,False
MACS0940_03,09:40:52.11,07:44:32.48,0.3404,Truncated Disk,True,192.0,263.0,181.0,461.9325256347656,517.6749267578125,457.45782470703125,11.22797966003418,16.195663452148438,False,False,False,False,22.412964733238567,0.688212927756654,True
MACS0940_04,09:40:51.86,07:44:16.44,0.3365,Cluster Control,True,555.0,224.0,224.0,1171.1405029296875,812.6426391601562,812.6426391601562,16.25133514404297,24.287914276123047,False,False,False,False,21.92335854526953,1.0,True
MACS0940_05,09:40:55.49,07:44:11.68,0.3328,Cluster Control,True,304.0,149.0,149.0,788.8902587890625,612.97021484375,612.97021484375,21.15975570678711,17.810203552246094,False,False,False,False,22.22950913005066,1.0,True
MACS0940_06,09:40:51.91,07:44:47.12,0.4606,Field Control,True,422.0,28.0,28.0,3471.1591796875,27.5476131439209,27.5476131439209,2.099092960357666,2.242961883544922,False,False,False,False,25.597897621351017,1.0,True
MACS0940_07,09:40:54.21,07:44:22.40,0.3801,Cluster Control,True,216.0,46.0,46.0,219.09515380859375,112.17850494384766,112.17850494384766,4.160495758056641,1.7770458459854126,False,False,False,False,24.07333344089405,1.0,True
MACS1206_01,12:06:14.9,-08:48:09.24,0.4179,Jellyfish,True,60.0,107.0,50.0,219.77651977539062,273.51361083984375,216.19387817382812,8.470778465270996,19.26291847229004,False,False,False,False,23.105660202615333,0.4672897196261682,False
MACS1206_02,12:06:13.305,-08:47:36.85,0.4285,Cluster Control,False,961.0,128.0,128.0,1900.7509765625,762.0098876953125,762.0098876953125,34.11659622192383,25.20853614807129,False,False,False,False,21.99320604330594,1.0,True
MACS1206_03,12:06:13.574,-08:47:29.25,0.422,Jellyfish,True,231.0,70.0,70.0,289.7455749511719,241.30810546875,241.30810546875,5.8051862716674805,13.96612548828125,False,False,False,False,23.24167778510642,1.0,True
MACS1206_04,12:06:11.78,-08:47:49.45,0.4196,Cluster Control,True,97.0,36.0,21.0,140.2689208984375,51.390140533447266,37.82612609863281,7.924498558044434,7.641544818878174,False,False,False,False,24.92090804673993,0.5833333333333334,True
MACS1206_05,12:06:13.021,-08:47:39.45,0.411,Cluster Control,True,421.0,194.0,193.0,889.7139892578125,788.5338134765625,786.9813232421875,19.545398712158203,22.87053871154785,False,False,False,False,21.956056756944907,0.9948453608247423,True
MACS1206_06,12:06:13.17,-08:47:45.05,0.4229,Post-Starburst,True,326.0,296.0,296.0,1059.4366455078125,1034.1285400390625,1034.1285400390625,25.344953536987305,17.4337100982666,False,False,False,False,21.66167125000488,1.0,True
MACS1206_07,12:06:12.158,-08:48:03.45,0.4401,Truncated Disk,False,951.0,411.0,411.0,2530.28564453125,1996.736328125,1996.736328125,50.194496154785156,32.78389358520508,False,False,False,False,20.947305761422186,1.0,True
MACS1206_08,12:06:13.13,-08:48:26.85,0.4751,Jellyfish,False,954.0,312.0,312.0,1107.05224609375,911.0716552734375,911.0716552734375,28.761465072631836,20.158029556274414,False,False,False,False,21.79922622171999,1.0,True
MACS1206_09,12:06:11.36,-08:48:22.0,0.427,Post-Starburst,False,205.0,176.0,176.0,601.1981811523438,570.9408569335938,570.9408569335938,26.236249923706055,19.748178482055664,False,False,False,False,22.306629753701273,1.0,True
MACS1206_10,12:06:09.24,-08:48:14.2,0.4224,Jellyfish,True,145.0,32.0,32.0,85.75617218017578,47.396583557128906,47.396583557128906,4.0561041831970215,5.509021282196045,False,False,False,False,25.00873996513763,1.0,True
MACS1206_11,12:06:14.856,-08:48:15.6,0.427,Post-Starburst,False,154.0,165.0,138.0,804.6240234375,792.7885131835938,764.3250122070312,34.569664001464844,22.18903923034668,False,False,False,False,21.95021418761954,0.8363636363636363,True
MACS1206_12,12:06:16.41,-08:47:53.8,0.4364,Cluster Control,False,143.0,79.0,79.0,177.39227294921875,167.03709411621094,167.03709411621094,8.568943977355957,13.051280975341797,False,False,False,False,23.6410752447423,1.0,True
MACS1206_13,12:06:15.36,-08:47:43.3,0.4493,Post-Starburst,False,45.0,98.0,45.0,227.88671875,303.0805969238281,227.88671875,12.466100692749023,8.308366775512695,False,False,False,False,22.994212225226093,0.45918367346938777,False
MACS1206_14,12:06:09.89,-08:47:32.0,0.4268,Cluster Control,False,211.0,81.0,81.0,423.52667236328125,285.5514831542969,285.5514831542969,9.526012420654297,15.533795356750488,False,False,False,False,23.058896509472685,1.0,True
MACS1206_15,12:06:11.01,-08:48:22.3,0.4031,Cluster Control,True,450.0,222.0,222.0,887.0572509765625,792.6144409179688,792.6144409179688,36.69240188598633,21.48160743713379,False,False,False,False,21.95045260847186,1.0,True
MACS1206_16,12:06:09.85,-08:48:08.4,0.4337,Post-Starburst,False,34.0,62.0,34.0,147.544189453125,174.044921875,147.544189453125,11.946226119995117,15.360779762268066,False,False,False,False,23.596454169166865,0.5483870967741935,True
MACS1206_17,12:06:13.00,-08:47:39.3,0.4106,Cluster Control,True,509.0,151.0,151.0,1102.0244140625,749.0638427734375,749.0638427734375,21.413137435913086,23.144994735717773,False,False,False,False,22.011810474473606,1.0,True
MACS1206_18,12:06:13.91,-08:47:56.3,0.4343,Post-Starburst,False,38.0,51.0,38.0,92.4208984375,100.7153091430664,92.4208984375,10.58067798614502,18.779550552368164,False,False,False,False,24.190368834735793,0.7450980392156863,True
MACS1206_19,12:06:11.21,-08:47:49.0,0.4163,Post-Starburst,False,35.0,29.0,18.0,50.20418930053711,57.311466217041016,46.07832336425781,11.697600364685059,9.917475700378418,False,False,False,False,24.802503761826507,0.6206896551724138,True
MACS1206_20,12:06:12.98,-08:48:05.4,0.4155,Post-Starburst,False,187.0,64.0,20.0,201.49945068359375,95.76693725585938,48.84531021118164,8.313060760498047,11.811946868896484,False,False,False,False,24.245068564123326,0.3125,False
MACS1206_21,12:06:10.85,-08:47:45.1,0.5271,Jellyfish,False,269.0,122.0,122.0,414.28369140625,332.12164306640625,332.12164306640625,14.09516716003418,19.254772186279297,False,False,False,False,22.894864615576193,1.0,True
MACS1206_22,12:06:09.73,-08:47:47.3,0.527,Jellyfish,False,190.0,65.0,65.0,294.05450439453125,250.10873413085938,250.10873413085938,13.13132095336914,17.228944778442383,False,False,False,False,23.20278541470686,1.0,True
MACS1206_23,12:06:16.40,-08:47:43.6,0.3531,Field Control,True,84.0,60.0,60.0,264.0771789550781,252.65194702148438,252.65194702148438,12.854813575744629,17.55722999572754,False,False,False,False,23.191800936533923,1.0,True
RXJ1347_01,13:47:30.6,-11:45:09.4,0.4518,Cluster Control,False,1214.0,917.0,913.0,3780.630126953125,3633.6025390625,3630.892578125,42.34510040283203,0.9522589445114136,False,False,False,True,20.29726400918044,0.9956379498364231,True
RXJ1347_02,13:47:31.36,-11:45:50.7,0.4318,Post-Starburst,False,122.0,196.0,122.0,710.6181030273438,789.0591430664062,710.6181030273438,24.002180099487305,1.7278565168380737,False,False,False,True,21.955333668807576,0.6224489795918368,True
RXJ1347_03,13:47:31.44,-11:45:19.3,0.4346,Post-Starburst,False,29.0,64.0,29.0,74.94573211669922,105.30125427246094,74.94573211669922,9.940133094787598,9.34071159362793,False,False,False,True,24.142023699506787,0.453125,False
RXJ1347_04,13:47:34.10,-11:46:10.4,0.4466,Cluster Control,False,87.0,56.0,49.0,156.0302276611328,144.43792724609375,135.8466339111328,10.193963050842285,0.539934515953064,False,False,False,True,23.798904441392082,0.875,True
RXJ1347_05,13:47:30.00,-11:44:35.0,0.3084,Field Control,True,209.0,76.0,76.0,244.1676025390625,184.82986450195312,184.82986450195312,11.859314918518066,10.359619140625,False,False,False,True,23.53117719721872,1.0,True
RXJ1347_06,13:47:28.92,-11:44:43.2,0.5335,Field Control,False,135.0,58.0,58.0,126.25634765625,102.47169494628906,102.47169494628906,5.2840657234191895,8.579766273498535,False,False,False,True,24.171597760628156,1.0,True
RXJ1347_07,13:47:32.45,-11:45:09.3,0.3468,Field Control,True,119.0,82.0,75.0,147.07542419433594,135.13430786132812,129.40475463867188,6.405677795410156,10.018195152282715,False,False,False,True,23.871193506088847,0.9146341463414634,True
SMACS2031_01,20:31:53.24,-40:37:03.6,0.3523,Jellyfish,True,605.0,221.0,221.0,1706.09326171875,1319.52392578125,1319.52392578125,28.966569900512695,39.67836380004883,False,False,False,False,21.39706438677253,1.0,True
SMACS2031_02,20:31:51.1,-40:37:21.6,0.3299,Post-Starburst,False,132.0,137.0,132.0,625.8306274414062,632.5484619140625,625.8306274414062,35.340736389160156,21.25274658203125,False,False,False,False,22.195373049916892,0.9635036496350365,True
SMACS2031_03,20:31:53.06,-40:37:01.02,0.3177,Cluster Control,True,174.0,15.0,15.0,307.8993225097656,48.538719177246094,48.538719177246094,9.657866477966309,12.759035110473633,False,False,False,False,24.98288677971239,1.0,True
SMACS2131_01,21:31:04.85,-40:19:21.0,0.4435,Jellyfish,False,1669.0,670.0,648.0,4003.126220703125,3097.124267578125,2974.764892578125,69.84213256835938,0.6945640444755554,False,False,False,True,20.47071098221072,0.9671641791044776,True
SMACS2131_02,21:31:05.23,-40:19:32.8,0.4435,Cluster Control,False,1187.0,28.0,16.0,1963.809814453125,53.71426010131836,30.084232330322266,21.76056671142578,0.6866307258605957,False,False,False,True,24.87288356548873,0.5714285714285714,True
SMACS2131_03,21:31:06.0,-40:18:54.0,0.4558,Jellyfish,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,inf,,False
SMACS2131_04,21:31:06.2,-40:18:48.8,0.4352,Cluster Control,False,423.0,95.0,95.0,669.8901977539062,423.1198425292969,423.1198425292969,23.06500816345215,1.27339768409729,False,False,False,True,22.631949079099158,1.0,True
SMACS2131_05,21:31:03.0,-40:19:06.2,0.459,Post-Starburst,False,38.0,38.0,35.0,111.86282348632812,112.08358001708984,107.99169921875,20.241313934326172,,False,False,False,True,24.07425257473594,0.9210526315789473,True
